Title,Number of review,Catagory,Reveiw Comment,Popular food,Online Order
Lezzet Mediterranean Turkish Restaurant,17,"Mediterranean, Turkish",“Very Authentic & Delicious”,steak,No
Penelope,"1,253","American, Cafe",“... and French toast with two hot choco...”,Salmon,No
44 & X,753,American,“We had the scallops (divine!!) and then the beef short rib (best ever!)”,No,No
Casellula,289,Wine Bar,“Perfect for dinner before a show”,No,No
Faces and Names,310,"American, Bar",“Our mains were the Faces & Times Burger and the Chicken Club... both prepared...”,No,No
Ed's Lobster Bar,761,"American, Seafood",“Friendly and Delicious”,No,No
Em Vietnamese Bistro,5,"Asian, Vietnamese",““Best Kept Secret in Dumbo””,No,No
Jack's Wife Freda,"1,015","American, Mediterranean",“We had the chicken kebab with couscous and chopped salad and the grilled halo...”,No,No
Match 65 Brasserie,443,"Steakhouse, French",“The steak tartare was fabulous!”,No,No
Land,331,"Asian, Thai",“Great for take out”,No,No
P.J. Clarke's,"1,716","American, Bar",“Maine Lobster tails and Atlantic Salmon as main courses and the best cheeseca...”,No,No
The Top of The Standard,779,"Bar, Contemporary",“My fav”,No,No
Utsav Restaurant,627,"Indian, Chinese",“Great food but very chaotic atmosphere”,No,No
Tangy Noodle,3,"Chinese, Asian",“Great quality for the price!”,pretzels,Yes
Palma,439,"Italian, Mediterranean",“Perfection”,paella,Yes
The Standard Biergarten,452,"German, Bar","“... GIANT beers (if you want them), pretzels, ping pong, and big screen TV's.”",burger,Yes
Guantanamera,669,"Caribbean, Latin",“Cuban paella and chicken were excellent in massive portions.”,cheesecake,Yes
Friedman's,"1,364",American,"“A clean bright interior, staff good the burger was excellent, but be warned.”",seafood paella,Yes
Rossini's Restaurant,486,Italian,"“Tiramisu was scrumptious, cheesecake a bit plain (this may be NY style).”",cream cheese,Yes
Socarrat Paella Bar - Chelsea,225,"Seafood, Mediterranean",“We took the combined poultry and seafood paella and started with some appetiz...”,Pasta,Yes
Amma,430,"Indian, Dining bars",“Excellent food and service. Must dine...”,Cuban Sandwich,Yes
Bagel Express,217,"American, Cafe",“... with vegan cream cheese and a coffe...”,French toast,Yes
Toscana 49,719,"Italian, Tuscan","“Pasta was light, sauce delicious and waiter picked out excellent wine.”",salmon,Yes
Blind Tiger Ale House,305,"American, Bar",“Excellent”,fried pickles,Yes
Margon,210,"Caribbean, Latin",“... the Cuban Sandwich was flavorful an...”,picanha,Yes
Greek From Greece,19,"Greek, Cafe",“We had some delicious French toast with...”,Tiramisu,Yes
Ess-a-Bagel,"1,770","American, Cafe","“Our favorites are the fish based ones - salmon, whitefish, etc. we’re ex-New...”",carbonara,Yes
Comfort Diner,"1,035","American, Diner",“Wonderful staff and food”,pasta,Yes
Foxy John's Bar & Kitchen,232,"Bar, Pub","“We ordered the buffalo cauliflower bites, fried pickles, nachos, and jalapeno...”",Lobster Roll,Yes
Emporium Brasil,410,"Brazilian, Latin",“The picanha is a special brazilian meat cut and its becoming americas favorite.”,fish and chips,Yes
Il Tinello Ristorante,401,Italian,“We then had Tiramisu and chocolate cake for dessert.”,feijoada,Yes
Lupa Osteria Romana,983,"Italian, Romana","“We had a wonderful dinner at Lupa, spaghetti carbonara and the garganelli bol...”",feijoada,Yes
Pepolino Ristorante,692,"Italian, Tuscan","“My husband and I both had pasta, his wa...”",duck,Yes
Burger & Lobster,479,"American, Seafood",“Great Lobster Roll”,steak,Yes
The Perfect Pint,"1,330","American, Irish","“... the fish and chips, which didn't lo...”",Cuban sandwich,No
Ipanema Restaurant,702,"Brazilian, Latin","“Our main dishes were the bacalhau and feijoada, the feijoada could have fed t...”",Sandwiches,No
Nomo Soho Restaurant,415,American,"“The risotto and duck ragu were spectacular, and the service was amazing.”",BLT,No
Tabernacle Steakhouse,7,"Steakhouse, American",“My steak was delectable and cooked to perfection.”,Avocado Toast,No
Jackson Hole Burgers,632,"American, Bar",“Great tasting burger. Best sweet potato...”,carne asada,No
Mozzarella&Vino,436,"Italian, Pizza",“Great as always”,trout,No
Coppelia,403,"Latin, Cuban","“... enjoyed their entrees -- Cuban sandwich, chile relleno (vegetarian versio...”",No,No
The Three Monkeys,679,"American, Bar",“Good beer”,No,No
Mustang Harry's,447,American,“Sandwiches came with fries.”,No,No
Katherine,111,Italian,“Best cocktails”,No,No
BLT Steak,616,"American, Steakhouse",“I will never forget my meal at BLT……yes...”,No,No
Buvette Gastrotheque,968,"French, Cafe","“The Avocado Toast and Waffle Sandwich are delicious, as is the fresh orange j...”",No,No
Toloache,"2,147",Mexican,"“... the carne asada, shrimp and the bir...”",No,No
West Bank Cafe,373,American,"“We had octopus and salmon and trout , e...”",No,No
Sadelle's,373,American,"“Good, but not exceptional”",No,No
Knickerbocker Bar & Grill,470,"American, Steakhouse",“Beautiful steak”,No,No
Sea Fire Grill,"1,137","Steakhouse, Bar",“The lobster bisque was velvety and luscious.”,lobster bisque,Yes
Bar SixtyFive,984,"American, Bar",“Fantastic evening”,dumplings,Yes
Beyond Sushi,101,"American, Mediterranean",“Do try the shiitake dumplings.”,tiramisu,Yes
Temple Court,283,American,“Top notch”,Crab Cakes,Yes
Carmine's Italian Restaurant - Times Square,"12,775",Italian,“From caesar salad to dinner to the tiramisu!! Linda our waitress was amazing...”,New York Style Pizza,Yes
FIG & OLIVE,"1,234","French, Mediterranean",“Very good lunchtime specialty items on...”,salad,Yes
Benjamin Steakhouse Prime,309,"Seafood, Soups","“The Prawn starter (which we're still talking about), Crab Cakes and the Steak...”",Garden,Yes
Vezzo,"1,071","Italian, Pizza",“The only place in NY that hasn’t raised...”,fries,Yes
Joe's Pizza,586,"Italian, Pizza",“New York Style Pizza”,bao,Yes
ABC Kitchen,"1,883",American,“The carrot salad had a lot of cumin and curry and was like south Indian soup...”,lamb,Yes
Totto Ramen,"1,133","Japanese, Asian",“Very pleasnat meal”,CALZONE,Yes
Luzzo’s,335,Italian,"“Pizza in the East Village, worth the trip.”",French dip,Yes
Goldie's Tavern,7,"Bar, Pub",“Close to Maddison Square Garden.”,corvina,Yes
Lillie's Victorian Establishment,"1,216","American, Bar",“Modules fries 10/10.”,tapas,Yes
Armani Ristorante,362,Italian,"“Very nice, upscale Italian restaurant”",vegetarian,Yes
Momofuku Ssam Bar,684,Asian,“The bao was exceptionally good too.”,Crab cakes,Yes
The Musket Room,334,"Seafood, International","“Highlights were the asparagus dish (a bean soup, I think) and the lamb.”",tapas,Yes
Don Antonio,"2,259","Italian, Pizza",“Gluten Free CALZONE”,pasta dishes,Yes
Tim Ho Wan,35,"Chinese, Asian",“LOVE THIS PLACE”,chili,Yes
Parker & Quinn,884,"American, Bar","“The food we ordered - mezze, Mac and cheese and French dip burger were delici...”",sandwiches,No
Blue Smoke Battery Park City,585,"American, Bar",“GOOD OPTION IN THE AREA”,Swordfish,No
Pio Pio 8,586,"Spanish, South American","“amazing food, we had the ceviche sampler and corvina, delicious, great servic...”",mussels,No
ilili Restaurant NYC,"1,218","Lebanese, Mediterranean",“Lebanese tapas”,Chili,No
Sushi Yasuda,716,"Japanese, Sushi",“Always a great place for sushi”,No,No
Saar Indian Bistro,98,Indian,“We had a party of four and ordered three entrees to share and one vegetarian...”,No,No
Pret A Manger,846,"Cafe, Fast Food",“Nice Cafe On Broadway”,No,No
Glass House Tavern,885,"American, Bar",“Crab cakes were good.”,No,No
Sweet Chick,294,American,“great value - delicious brunch”,No,No
Boqueria Flatiron,438,Spanish,“Perfect place for tapas”,No,No
Bocca di Bacco - Hell's Kitchen,600,"Italian, Pizza","“The food was excellent, we had various pasta dishes and they were all really...”",No,No
Little Alley,44,"Asian, Chinese",“For a main course the sautéed green beans with pork and dried red chili was b...”,No,No
2nd Avenue Deli,"1,205","Deli, Israeli",“... the overstocked sandwiches just great.”,No,No
ABC Cocina,704,"Mexican, Latin",“Great food”,No,No
Oceana Restaurant,"1,196",Seafood,"“My wife had the Swordfish, I had the Salmon entree.”",No,No
The Smith,449,American,“... size of the mussels which were tiny...”,No,No
Buddakan,"5,434","Chinese, Asian","“... ordered if you like meet Broken Chili Chicken $36 chinese pepper, charred...”",No,No
Brooklyn Chop House - Times Square,3,"Chinese, Steakhouse",“Worth the price”,No,No
Stone Bridge Pizza & Salad,41,"Pizza, Italian","“Good, not typical NY slice”",tiramisu,Yes
Da Marino Restaurant,"2,769","Italian, Pizza","“The tiramisu is perfectly balanced, lig...”",Pasta,Yes
Sant Ambroeus,476,"Italian, European",“Pasta was to die for.”,tortillas,Yes
Tacombi Nolita,572,"Mexican, Latin","“The tortillas taste like they were just made out back, and let's talk about t...”",cheesecake,Yes
Tavola,969,"Italian, Pizza","“Pizza, pasta, cannoli's, cheesecake.”",fried rice,Yes
Zoob Zib Thai Authentic Noodle Bar,250,"Asian, Thai",“... gai noodles ginger tea classic fried rice tom yum soup the ambiance of th...”,An Italian restaurant,Yes
Don Giovanni Ristorante,263,"Italian, Pizza",“An Italian restaurant well worth a visit”,Greek,Yes
Naruto Ramen,200,"Japanese, Asian",“Excellent!”,pancakes,Yes
Avra Madison Estiatorio,384,Greek,"“Fresh delicious Greek food, entertaining atmosphere and excellent service!”",prosciutto,Yes
Manhattan Diner,551,"American, Diner",“Two of us had the pancakes with strawberries.”,polenta,Yes
Knickerbocker Bar & Grill,470,"American, Steakhouse",“Old School Cool! T-Bones & Chocolate...”,salad,Yes
Rosemary's,686,"Italian, European",“... prosciutto board with honey.”,ribeye,Yes
Katherine,111,Italian,“Best cocktails”,duck confit,Yes
Scarpetta,909,"Italian, Pizza",“We also really liked the polenta with mushrooms and (I guess we were in a fun...”,sushi,Yes
Adrienne's Pizzabar,877,"Italian, Pizza",“... enough for three people with a salad).”,Chicken Parm,Yes
Benjamin Steakhouse,"2,490","Seafood, Soups","“I had a ribeye steak which was excellent quality meat, beautifully cooked and...”",lobster,Yes
Le Parisien,325,"French, European",“My wife had the duck confit that was tender falling off the bone delicious!”,diner,Yes
Via Carota,387,Italian,“A must in nyc”,salmon,Yes
Em Vietnamese Bistro,5,"Asian, Vietnamese",““Best Kept Secret in Dumbo””,beef,Yes
Strip House,607,"American, Steakhouse","“Worth a visit, good steak”",sashimi,Yes
Blue Ribbon Sushi Bar & Grill - Columbus Circle,364,"Japanese, Sushi",“Amazing amazing amazing sushi and service”,Greece,Yes
15 EAST @ Tocqueville,453,"French, Japanese",“Fine Dining at its Best!”,salmon,Yes
Baccarat Hotel Bar,203,Bar,“Amazing experience! A great way to end my...”,Meatloaf,Yes
Trattoria Dell'Arte,"1,941","Italian, Pizza",“Go for the Chicken Parm and Veal Parm!”,Burger,Yes
Miss Mamie's Spoonbread Too,102,"American, Caribbean",“Southern classics”,No,No
FIG & OLIVE,"1,424","Mediterranean, European",“Dropped in to order takeout—lobster and shrimp roll (excellent) — and had a g...”,No,No
George's,934,"American, Diner","“Definitely a traditional NY cafe/diner with a large and varied menu, the amou...”",No,No
Natsumi,890,"Japanese, Sushi",“For the main course we both had the shrimp and salmon teriyaki.”,No,No
Morton's The Steakhouse,"1,204","Diner, American",“Service is excellent and the beef is gr...”,No,No
Bathtub Gin,410,American,“So much fun!”,No,No
Hatsuhana Sushi Restaurant,425,"Japanese, Sushi","“... notch, including the O-toro sashimi.”",No,No
Molyvos,"1,089","Mediterranean, Greek",“Amazing Choices of wine from Greece.”,No,No
limani,418,"Seafood, Mediterranean",“I ordered lentil salad with salmon and even was a small portion it was satisf...”,No,No
Beauty & Essex,"2,255",American,“Superb”,No,No
Joe Allen,"1,073",American,"“Meatloaf, best I've ever had.”",No,No
Jackson Hole Burgers,847,"American, Bar",“Best Burger Ever!”,No,No
Lezzet Mediterranean Turkish Restaurant,17,"Mediterranean, Turkish",“Very Authentic & Delicious”,No,No
Brickyard craft kitchen & beer,"1,569",American,“Some of the best salmon I’ve had”,salmon,Yes
Nobu Downtown,551,Japanese,“... from French toast to omelets to jus...”,French toast,Yes
Malibu Diner,"1,890","American, Diner","“... jalapeño espectacular , cappuccino desert delicious, fried rice with tuna”",tuna,Yes
Nobu Fifty Seven,673,"Japanese, Seafood",“Got to go here for the lobster bisque!!”,lobster bisque,Yes
The Palm - Palm West,269,American,“... Grand central right next store and made this our take-away breakfast place.”,breakfast place,Yes
Sandwicherie,111,"American, Cafe",“Best cocktails”,focaccia,Yes
Katherine,535,Italian,“Great Spot in the City”,Pizza,Yes
Carragher's Pub & Restaurant,596,"American, Bar",“The appetizer focaccia bread was an exc...”,Rib Steak,Yes
Lincoln Ristorante,323,Italian,“Quite possibly the best Pizza I ever ate!”,steak,Yes
The Marshal,"2,416","American, Pizza",“The Corn Creme Brulee is awesome and the Tomahawk Rib Steak is one of the bes...”,ribeye,Yes
Quality Meats,"1,065","American, Steakhouse",“Great steak and amazing view”,salad,Yes
Porter House,87,"American, Steakhouse",“The bartender/server suggested the ribeye as well as the special mashed potat...”,cheesecake,Yes
Ben & Jack's Steakhouse,197,"Bar, American",“... the grilled cheese sandwich and my wife also enjoyed her Mexican cobb salad.”,bibimbap,Yes
Westville Hudson,"13,257",American,"“Wonderfull experience , wish we could...”",tiramisu,Yes
Eataly NYC Flatiron,"3,418",Italian,“And don't forget about cheesecake - I still feel it's taste even after few days!”,carbonara,Yes
Del Frisco's Double Eagle Steakhouse,620,"American, Steakhouse",“My favorite is actually their bibimbap.”,fries,Yes
Gaonnuri,849,"Barbecue, Asian",“... and white chocolate strawberry tiramisu and the chocolate tart for desser...”,tacos,Yes
Azalea Ristorante,983,Italian,"“We had a wonderful dinner at Lupa, spaghetti carbonara and the garganelli bol...”",French Toast,Yes
Lupa Osteria Romana,167,"Italian, Romana",“The asparagus fries were to die for!”,fish and chips,Yes
Loring Place,397,American,"“Lovely tacos and margaritas, perfect.”",tuna,Yes
Anejo,457,"Mexican, Latin","“Wow, French Toast”",chili,No
Jane Restaurant,"1,702",American,"“great staff, location and the fish and chips were so good.”",paninis,No
Connolly's Pub & Restaurant,975,"American, Irish",“Quick lunch before dashing to a business...”,meatballs,No
O'Lunney's,114,"American, Irish",“Highlights were the tuna tartare appetizer and the salmon entree.”,calamari,No
